年,月,日,今津降水量の合計(mm),南小松降水量の合計(mm),大津降水量の合計(mm),今津1時間降水量の最大(mm),南小松1時間降水量の最大(mm),大津1時間降水量の最大(mm),今津平均風速(m/s),南小松平均風速(m/s),大津平均風速(m/s),今津日照時間(時間),南小松日照時間(時間),大津日照時間(時間),今津最深積雪(cm),今津降雪量合計(cm),今津最大風速(m/s),今津最大風速方角(m/s),今津最大瞬間風速(m/s),今津最大瞬間風速方角(m/s),今津最多風向(16方位),南小松最大風速(m/s),南小松最大風速方角(m/s),南小松最大瞬間風速(m/s),南小松最大瞬間風速方角(m/s),南小松最多風向(16方位),大津最大風速(m/s),大津最大風速方角(m/s),大津最大瞬間風速(m/s),大津最大瞬間風速方角(m/s),大津最多風向(16方位),今津平均気温(℃),今津最高気温(℃),今津最低気温(℃),南小松平均気温(℃),南小松最高気温(℃),南小松最低気温(℃),大津平均気温(℃),大津最高気温(℃),大津最低気温(℃),今津10分間降水量の最大(mm),南小松10分間降水量の最大(mm),大津10分間降水量の最大(mm),遅延フラグ(遅延1)
2015,5,11,0,0,0,0,0,0,3.2,1.6,2.8,11.4,9.6,10.2,0,0,7.4,2,10.6,2,2,4.7,7,13,0,4,6.9,2,11.5,3,3,15.4,21.7,9.3,16.1,21.8,8.8,16.7,25.2,9.2,0,0,0,0
2015,5,12,43.5,49.5,32.5,8,15.5,12,4.4,1.7,2.1,0,0,0,0,0,8.2,2,11.4,2,2,5.1,6,9.2,6,5,5,3,9,3,2,15.5,18,13.3,17.4,20.2,14.7,18.1,22,14.9,3,3.5,4,0
2015,5,13,0,0.5,0,0,0.5,0,1.6,2.5,3.4,12.8,12,12.8,0,0,3.9,1,6.2,2,6,5.5,4,10.7,4,4,5.8,6,14,5,6,17.1,24.3,10.6,19,25.9,11,19.6,24.9,13.7,0,0.5,0,0
2015,5,14,0,0,0,0,0,0,1.6,1.4,2.3,7.9,7.9,7.3,0,0,4.5,4,7.3,4,2,6.1,4,10.2,4,2,6,6,12,5,4,19,24.8,12.3,18.4,25.1,13.2,20.2,27.2,14.8,0,0,0,0
2015,5,15,0,0,3,0,0,2,1.2,1.1,1.5,7,7.7,7.2,0,0,2.8,2,4.1,2,2,2.7,2,6.1,6,2,3.9,6,8,6,5,21.5,26.6,16.1,20.8,26.6,16.5,22.7,29.4,16.5,0,0,1,0
2015,5,16,9.5,10.5,28.5,3,3.5,11.5,2,0.9,1.6,0,0.3,0,0,0,4.6,6,7.5,6,6,2.9,2,6.2,6,6,3.6,6,6,6,2,17.5,20.8,15.6,18.5,21.3,14.1,18.9,22.6,15.4,1,1,3,0
2015,5,17,0,0,0,0,0,0,1.8,1.2,1.5,10.7,10.5,10.6,0,0,4.3,0,7.8,0,6,3.1,2,6.6,1,4,3.4,7,5.3,7,4,17.8,25.7,10.9,17.9,26,12.3,18.9,25.5,12.3,0,0,0,0
2015,5,18,10,19,8.5,5.5,11,3.5,1.9,1.1,2.1,2.3,2.4,2.7,0,0,6.2,2,9.9,2,2,3,4,6.1,4,6,5.6,2,9.3,2,2,17.7,22.9,12.4,18.3,24.5,13.1,18.7,25.2,13.3,2,2.5,1.5,0
2015,5,19,9,15.5,22.5,5.5,11,10,1.4,0.9,1.4,4.2,0.3,2.7,0,0,4.4,2,7.7,2,0,2.2,2,4.2,1,6,3.2,0,7.2,0,0,18,22,13.4,17.3,20.1,13.3,18.3,22.5,14.9,2,3,2,0
2015,5,20,0.5,1,7,0.5,0.5,3.5,2.1,2.4,2.3,10.6,7.5,7.6,0,0,5,7,12.2,0,7,7.5,7,15.8,7,7,5.8,2,10.4,2,7,16.8,25.5,10.9,16.1,23.5,11.6,17.4,25.4,12.7,0.5,0.5,2,1
2015,5,21,0,0,0,0,0.5,2,2.9,2.4,2.4,10.7,12.8,12.9,0,0,5.7,7,10.1,7,7,6.3,7,17.8,0,0,4.4,6,7.2,1,1,16.2,20.8,11.6,17.3,22.5,12.1,17.5,23.4,12.2,0,0,0.5,0
2015,5,22,0,0,0,0,0,0,1.5,1.1,1.7,10.9,10.1,9.8,0,0,3.2,2,4.8,2,6,3.2,2,5.3,2,2,3.5,6,7.3,6,4,16.9,24.1,9.8,16.6,22.8,11.3,19.5,27,11.2,0,0,0,0
2015,5,23,0,0,0,0,0,0,1.2,0.8,1.2,1,0.9,0.1,0,0,2.1,2,3.2,2,6,2.2,2,3.5,0,2,2.5,7,3.9,7,4,18,22.5,13,17.6,20.7,13.3,19.7,24.7,14.8,0,0,0,0
2015,5,24,0,0,0,0,0,0,1.4,1.2,1.8,8.1,7.3,8.7,0,0,3.2,6,6.8,0,6,4.1,2,6.9,0,2,3.5,0,6.7,0,4,20,26,14.5,20,26.5,15.4,21.5,27.1,17.3,0,0,0,0
